"SLUS_008.26
SLUS_008.26GH";Need for Speed - High Stakes (USA);
SLES_017.88;Need for Speed - Road Challenge (Europe) (En,Sv);
SLUS_006.62;Parasite Eve (USA) (Disc 1);
SLUS_006.68;Parasite Eve (USA) (Disc 2);
SLES_025.58;Parasite Eve II (Europe) (Disc 1);
SLES_125.58;Parasite Eve II (Europe) (Disc 2);
SLUS_003.39;Persona (USA);
"SCPS_453.56
SLPS_018.00";R4 - Ridge Racer Type 4 (Japan, Asia);
SLUS_001.70;Resident Evil (USA);
SLUS_005.51;Resident Evil - Director's Cut (USA);
SLUS_007.47;Resident Evil - Director's Cut - Dual Shock Ver. (USA);
"SLUS_009.23D
SLUS_009.23GH";Resident Evil 3 - Nemesis (USA, Canada);
SCUS_942.30;SaGa Frontier (USA);
SLPM_861.92;Silent Hill (Japan);
"SLES_015.14
SLES_015.14_P";Silent Hill (Europe) (En,Fr,De,Es,It);
"SLUS_007.07
SLUS_007.07GHA";Silent Hill (USA);
SLED_017.35;Silent Hill (Europe) (Demo);
SLES_004.71;SimCity 2000 (Europe) (En,Fr,De,Es);
SLUS_009.58;Suikoden II (USA);
SCUS_942.40;Syphon Filter (USA);
"SLPS_017.70
SLPS_912.10";Tales of Phantasia (Japan);
SCUS_944.91;Legend of Dragoon, The (USA, Canada) (Disc 1);
SCUS_945.84;Legend of Dragoon, The (USA, Canada) (Disc 2);
SCUS_945.85;Legend of Dragoon, The (USA, Canada) (Disc 3);
SCUS_945.86;Legend of Dragoon, The (USA, Canada) (Disc 4);
SLUS_010.19;Threads of Fate (USA, Canada);
SLUS_006.91;Tomb Raider III - Adventures of Lara Croft (USA);
SLES_033.31;Tomb Raider Chronicles (Europe);
SCUS_946.42;Twisted Metal - Small Brawl (USA);
"SLUS_010.40
SLUS_010.40GH";Vagrant Story (USA);
SLUS_004.47;Vandal Hearts (USA);
SLUS_004.80;WarCraft II - The Dark Saga (USA) (En,Fr,De,Es,It);
SCES_003.21;Wild Arms (Europe);
SCUS_946.08;Wild Arms (USA);
SCUS_944.84;Wild Arms 2 (USA) (Disc 1);
SCUS_944.98;Wild Arms 2 (USA) (Disc 2);
"SLUS_006.64
SLUS_006.64GH";Xenogears (USA) (Disc 1);
"SLUS_006.69
SLUS_006.69GH";Xenogears (USA) (Disc 2);
SLES_013.74;Tenchu - Stealth Assassins (Europe) (En,Fr,It);
SLES_032.84;Prism Land Story (Europe);
SLUS_004.22;Breath of Fire III (USA);
SLES_022.40_GER;Tomb Raider IV - The Last Revelation (Germany) (EDC);
SLES_023.40;Thrasher - Skate and Destroy (Europe) (En,Fr,De,Es,It);
SLES_023.15;FIFA 2000 (Europe) (En,De,Es,Nl,Sv);
SLES_014.04#;Grand Theft Auto 2 (Europe) (En,Fr,De,Es,It) (Rev 1);
SLES_002.46;Alien Trilogy (Germany);
SCED_008.25;Euro Demo 29 (Europe);
"SLES_022.03
SLES_022.03#";Jade Cocoon - Die Tamamayu Legende (Germany);
"SLUS_008.85
SLUS_008.85GH";Tomb Raider - The Last Revelation (USA) (Rev 1);
SCES_021.80;Point Blank 2 (Europe, Australia) (En,Fr,De,Es,It);
SLES_000.51;Raiden Project, The (Europe);
"SLUS_009.39
SLUS_009.39GH";Tenchu 2 - Birth of the Stealth Assassins (USA);
SLUS_007.53;R-Types (USA);
SCES_014.20;Crash Bandicoot 3 - Warped (Europe, Australia) (En,Fr,De,Es,It);
SLES_009.27;Constructor (Europe) (En,Fr,De,Es);
SLUS_010.51;Koudelka (USA) (Disc 1);
SLUS_011.00;Koudelka (USA) (Disc 2);
SLUS_011.01;Koudelka (USA) (Disc 3);
SLUS_011.02;Koudelka (USA) (Disc 4);
