ID,title
GM T-125045-00,Earthworm Jim - Special Edition (RE)
GM T-125045-50,Earthworm Jim - Special Edition
GM T-127015-00,Lunar - The Silver Star (RE)
GM T-127025-00,Vay
GM T-127035-00,Popful Mail (RE)
GM T-127045-00,Lunar - Eternal Blue (RE)
GM T-130025-00,Pitfall - The Mayan Adventure
GM T-130025-50,Pitfall - The Mayan Adventure
GM T-130035-01,Radical Rex
GM T-13015-00,Panic! (RE)
GM T-135015-00,NFL Football Trivia Challenge
GM T-14014-00,Starblade
GM T-14025-00,Starblade
GM T-141014-00,Kamen Rider ZO
GM T-143015-00,"Space Adventure, The - Cobra - The Legendary Bandit"
GM T-143015-50,"Space Adventure, The - Cobra - The Legendary Bandit"
GM T-143025-50,Dungeon Explorer
GM T-143035-50,Lords of Thunder
GM T-145014-00,Bakuden - The Unbalanced Zone
GM T-151015-00,"Smurfs, The"
GM T-153015-00,Loadstar - The Legend of Tully Bodine
GM T-153035-00,Cadillacs and Dinosaurs - The Second Cataclysm (RE)
GM T-158015-00,"Animals!, The"
GM T-158025-00,"Software Toolworks' Star Wars Chess, The"
GM T-160015-01,"Lawnmower Man, The"
GM T-160015-50-0,"Lawnmower Man, The (Demo)"
GM T-162015-00,Kids on Site
GM T-162015-50,Kids on Site (RE-1)
GM T-16201F-00,Corpse Killer (Sega CD 32X)
GM T-16201F-50,Corpse Killer (Mega-CD 32X)
GM T-16202F-00,Night Trap (Disc 1) (Sega CD 32X) (RE-1)
GM T-16202F-50,Night Trap (Disc 2) (Mega-CD 32X)
GM T-162035-00,Slam City with Scottie Pippen (Disc 3) (Mad Dog) (RE-1)
GM T-162035-50,Slam City with Scottie Pippen (Disc 3) (Mad Dog)
GM T-16203F-00,Supreme Warrior (Disc 2) (Wind & Fang Tu) (Sega CD 32X)
GM T-16203F-50,Supreme Warrior (Disc 1) (Mega-CD 32X)
GM T-162045-00,Supreme Warrior (Disc 2) (Wind & Fang Tu)
GM T-162045-50,Supreme Warrior (Disc 2)
GM T-16204F-00,Slam City with Scottie Pippen (Disc 3) (Mad Dog) (Sega CD 32X)
GM T-16204F-50,Slam City with Scottie Pippen (Disc 4) (Smash) (Mega-CD 32X)
GM T-162055-00,Corpse Killer
GM T-162055-50,Corpse Killer
GM T-162105-00,Night Trap (Disc 1) (Rerelease)
GM T-163015-00,Android Assault - The Revenge of Bari-Arm
GM T-22014-00,Heavy Nova
GM T-22024-00,Black Hole Assault
GM T-22025-00,Third World War
GM T-22034-00,"IIIrd World War, The"
GM T-22035-00,Revengers of Vengeance
GM T-23015-00,Mansion of Hidden Souls
GM T-23055-00,Flink
GM T-24034-00,Sengoku Denshou
GM T-25014-00,Ranma 1-2 - Byakuranaika
GM T-28014-00,Detonator Orgun
GM T-32014-01,Earnest Evans
GM T-32024-01,Sega CD Demo (Proto)
GM T-32044-01,Aisle Lord
GM T-32064-01,Thunder Storm FX
GM T-32074-00,Devastator
GM T-32084-00,Tenbu Mega CD Special
GM T-32094-00,"Arcus I, II, III"
GM T-32104-00,Annett Futatabi
GM T-32114-01,Time Gal
GM T-32124-01,Road Blaster FX
GM T-36014-00,Captain Tsubasa
GM T-43024-00,Bari-Arm
GM T-4501-01,Sherlock Holmes - Consulting Detective
GM T-45014-00,Lunar - The Silver Star
GM T-45034-00,Yumimi Mix
GM T-45044-00,Gyuwambler Jiko Chuushinha 2 - Gekitou! Tokyo Mahjongland Hen
GM T-45054-00,Silpheed
GM T-45064-00,Urusei Yatsura - Dear My Friends
GM T-45064-00 DEMO,Urusei Yatsura - Dear My Friends (Demo)
GM T-45074-00,Lunar - Eternal Blue
GM T-45074-01,Lunar - Eternal Blue (Rev A)
GM T-48015-00,Robo Aleste
GM T-49014-00,Cosmic Fantasy Stories
GM T-49024-00,Mahou no Shoujo - Silky Lip
GM T-49034-00,Death Bringer
GM T-49035-00,Revenge of the Ninja
GM T-49054-00,Cyborg 009
GM T-49064-00,A-Rank Thunder - Tanjou-hen
GM T-50015-00,NHL '94
GM T-50025-00,Bill Walsh College Football
GM T-50035-00,Power Monger
GM T-50045-00,Wing Commander
GM T-50055-00,FIFA International Soccer - Championship Edition (Demo) (Alt)
GM T-50085,Road Rash
GM T-51014-01,Gen'ei Toshi - Illusion City
GM T-5740??-01,Pier Solar and the Great Architects Enhanced Soundtrack Disc
GM T-60014,Prince of Persia
GM T-60024-00,Daihoushinden
GM T-60034-00,Shadow of the Beast II - Juushin no Jubaku
GM T-60035-00,"Secret of Monkey Island, The (RE)"
GM T-60044-00,"Secret of Monkey Island, The"
GM T-60054-00,Heimdall
GM T-60055-00,AH3 - Thunderstrike
