ID,title
1996-05-17-11-54-35-00_UNTITLED,Art of Fighting - Ryuuko no Ken Gaiden ~ Art of Fighting 3
1996-07-03-11-50-07-00_SHINOH_KEN,Shinouken ~ Ragnagard
1996-08-09-15-20-01-00_BRKCD,Ironclad
1996-08-28-11-02-07-00_NMCD,Ninja Master's
1996-10-03-11-21-36-00_KOF96,King of Fighters '96
1996-12-04-19-00-54-00_UNTITLED,Samurai Spirits - Amakusa Kourin ~ Samurai Shodown IVs Revenge
1996-12-05-16-25-23-00_C229,King of Fighters '96 NeoGeo Collection
1997-02-07-16-04-46-_0230,Breakers
1997-03-14-07-18-59-00_RBS,Real Bout Garou Densetsu Special ~ Real Bout Fatal Fury Special
1997-06-08-18-05-53-00_SAMURAI_RPG_VFS,Shinsetsu Samurai Spirits
1997-09-23-19-12-42-00_CD0040,King of Fighters '97
1998-02-20-11-31-30-00_234,Bakumatsu Roman - Gekka no Kenshi ~ The Last Blade
1998-05-18-11-30-00-00_MS2CD_M_127,Metal Slug 2
1998-05-27-19-31-00-00_RB2,Real Bout Garou Densetsu 2 ~ Real Bout Fatal Fury 2
1998-10-27-18-29-32-00_KOF_98,King of Fighters '98 ~ The King of Fighters '98 - The Slugfest
1999-02-04-22-39-59-00_None,Bakumatsu Roman Daini Maku ~ The Last Blade 2
1999-08-18-16-54-06-00_KOF99,King of Fighters '99 ~ The King of Fighters '99
2004-07-22-01-46-00-_ANDRODUN,Andro Dunos
2011-12-22-15-07-46-00_20111222_1507,Treasure of the Caribbean
2021-08-10-10-22-49-00_XENOCRISIS,Xeno Crisis
