ID,title
HSN-0008,Jissen Pachi-Slot Hisshouhou! Hokuto no Ken SE: Limited Edition
HSN-0010,Appleseed EX [Limited Box]
HSN-0012,Seaman 2: Peking Genjin Ikusei Kit (Seamic Controller)
HSN-0013,Nights into Dreams [Nightopia Dream Pack]
IIDX16COMP,Beatmania IIDX: 16: Empress + Premium Best [Konamystyle Special Edition]
IIDX16SP,Beatmania IIDX: 16: Empress + Premium Best [Konamystyle Special Edition]
INCH-0001,Soul Link Extension [Limited Edition]
INCH-0002,Teikoku Sensenki [Best Version with Drama CD]
INCH-0003,Interlude [Best Version Pandora Box]
INCH-0004,School Days LXH [First Print Limited Edition]
JALE-20003,Dream Audition [Limited Edition]
KAD-003,H2O+: Footprints in the Sand [DX Pack]
KAD-004,Togainu no chi: True Blood [Limited Edition]
KAD-006,Real Rode [Kira Kira Box]
KAD-008,Touka Gettan: Koufuu no Ryouou [Deluxe Pack]
KAD-019,Uragiri wa Boku no Namae o Shitteiru [Deluxe Pack]
KCS-3001,Shin Sangoku Musou 3: Treasure Box
KCS-3002,Shin Sangoku Musou 3: Treasure Box
KOEI-00005,Shin Sangoku Musou 3: Moushouden & Kessen II & Sangokushi VIII Super Value Set [3 DISCS]
KOEI-00006,Sengoku Musou: Treasure Box
KOEI-00008,Shin Sangoku Musou 3 Empires & Moushouden Premium Box
KOEI-00009,Shin Sangoku Musou 3 Super Premium Box
KOEI-00011,Sengoku Musou: Excellent Box
KOEI-00012,Nobunaga no Yabou:  Online (Excellent Box)
KOEI-00013,Shin Sangoku Musou 3: Empires Excellent Box [3 DISCS]
KOEI-00015,Winning Post Kouryaku Box
KOEI-00017,Sengoku Kouryaku Box [2 Discs]
KOEI-00019,Sengoku Musou Moushouden: Treasure Box
KOEI-00020,Angelique Etoile [Premium Box]
KOEI-00021,Kessen III: Treasure Box
KOEI-00023,Harukanaru Toki no Naka de 3 + 2
KOEI-00027,Shin Sangoku Musou 4: Treasure Box
KOEI-00028,Zill O'll Infinite: Premium Box
KOEI-00029,Harukanaru Toki no Naka de: Hachiyoushou [Premium Box]
KOEI-00033,Sangokushi X: Anniversary Box
KOEI-00034,Harukanaru Toki no Naka de: Hachiyoushou [History Box]
KOEI-00042,Shin Sangoku Musou 3+3 Mushouden [Premium Pack] [2 DISCS]
KOEI-00043,Winning Post 7: Premium Box
KOEI-00046,Pachi-Slot Winning Post [With Controller]
KOEI-00047,Harukanaru Toki no Naka de 3: Izayoiki [Premium Box]
KOEI-00048,Harukanaru Toki no Naka de 3 & Harukanaru Toki no Naka de 3: Izayoiki Twin Pack
KOEI-00049,Shin Sangoku Musou 4 Premium Pack
KOEI-00050,Shin Sangoku Musou 4 Moushouden: Treasure Box
KOEI-00059,Shin Sangoku Musou Series Collection Joukan [6 DISCS]
KOEI-00065,Sengoku Musou 2: Treasure Box
KOEI-00068,Pachi-Slot Nobunaga no Yabou: Tenka Sousei (Pachi-Slot Set)
KOEI-00069,Shin Sangoku Musou 4 Super Premium Box [4 DISCS]
KOEI-00070,Shin Sangoku Musou 4 Empires & Mushosiden Premium Box [3 DISCS]
KOEI-00075,Harukanaru Toki no Naka de 3: Unmei no Meikyuu [Premium Box]
KOEI-00110,Harukanaru Toki no Naka de: Maihitoyo [Premium Box]
KOEI-00111,Harukanaru Toki no Naka de: Hachiyoushou [Twin Pack]
KOEI-00112,Sengoku Musou 2 Empires: Treasure Box
KOEI-00113,Sengoku Musou 2 & Sengoku Musou 2: Empires Premium Box
KOEI-00114,Shin Sangoku Musou Series Collection Gekan  [5 DISCS]
KOEI-20122,Kin'iro no Koruda 2 [Premium Box]
